lat_Alaska,lon_Alaska,lat_Alabama,lon_Alabama,lat_Arkansas,lon_Arkansas,lat_Arizona,lon_Arizona,lat_California,lon_California,lat_Colorado,lon_Colorado,lat_Connecticut,lon_Connecticut,lat_Delaware,lon_Delaware,lat_Florida,lon_Florida,lat_Georgia,lon_Georgia,lat_Hawaii,lon_Hawaii,lat_Iowa,lon_Iowa,lat_Idaho,lon_Idaho,lat_Illinois,lon_Illinois,lat_Indiana,lon_Indiana,lat_Kansas,lon_Kansas,lat_Kentucky,lon_Kentucky,lat_Louisiana,lon_Louisiana,lat_Massachusetts,lon_Massachusetts,lat_Maryland,lon_Maryland,lat_Maine,lon_Maine,lat_Michigan,lon_Michigan,lat_Minnesota,lon_Minnesota,lat_Missouri,lon_Missouri,lat_Mississippi,lon_Mississippi,lat_Montana,lon_Montana,lat_North Carolina,lon_North Carolina,lat_North Dakota,lon_North Dakota,lat_Nebraska,lon_Nebraska,lat_New Hampshire,lon_New Hampshire,lat_New Jersey,lon_New Jersey,lat_New Mexico,lon_New Mexico,lat_Nevada,lon_Nevada,lat_New York,lon_New York,lat_Ohio,lon_Ohio,lat_Oklahoma,lon_Oklahoma,lat_Oregon,lon_Oregon,lat_Pennsylvania,lon_Pennsylvania,lat_Rhode Island,lon_Rhode Island,lat_South Carolina,lon_South Carolina,lat_South Dakota,lon_South Dakota,lat_Tennessee,lon_Tennessee,lat_Texas,lon_Texas,lat_Utah,lon_Utah,lat_Virginia,lon_Virginia,lat_Vermont,lon_Vermont,lat_Washington,lon_Washington,lat_Wisconsin,lon_Wisconsin,lat_West Virginia,lon_West Virginia,lat_Wyoming,lon_Wyoming
70.0187,-141.0205,35.0041,-88.1955,33.0225,-94.0416,36.9993,-112.5989,41.9983,-124.4009,37.0004,-109.0448,42.0498,-73.4875,39.7188,-75.7919,30.9988,-87.605,34.9974,-85.6082,19.5158,-154.6284,40.5848,-95.7623,49,-117.0319,42.5116,-90.629,41.7611,-87.5253,40.0034,-102.0506,36.4986,-89.5372,33.0225,-94.043,42.0003,-72.7789,39.722,-79.4778,45.3425,-71.0129,48.3033,-88.3713,43.5008,-96.4517,40.6181,-91.7468,35.0041,-90.3049,44.475,-111.0512,33.7963,-78.485,48.9955,-104.0501,42.9986,-104.0543,45.0153,-71.5045,41.3572,-74.695,36.9971,-109.0448,41.9922,-120.0037,42.5142,-79.7624,38.4385,-82.3425,37.0015,-103.0051,46.2587,-124.2444,42.3261,-80.5174,41.3706,-71.0568,32.0488,-80.7001,45.9435,-104.0501,36.6739,-88.0678,31.8659,-106.5715,36.9982,-114.0491,36.6017,-83.6753,45.0104,-73.3427,49.0023,-123.3208,42.5116,-90.6303,39.7188,-79.4765,41.0037,-104.0556
70.1292,-141.7291,34.9918,-85.6068,33.0075,-91.2057,37.0004,-110.863,42.0024,-123.6237,36.9949,-102.0424,42.0511,-73.4247,39.521,-75.7837,30.9964,-86.5613,34.9906,-84.7266,19.8894,-154.8235,40.5785,-93.5445,49.0018,-116.0486,42.4924,-87.0213,41.7611,-84.809,40.0034,-102.0506,36.5074,-89.301,33.0179,-93.0048,42.033,-72.7405,39.722,-78.36,45.3328,-70.9525,48.0101,-87.605,43.5017,-91.2195,40.5597,-91.6809,35.0075,-88.1955,44.7311,-111.3684,34.8037,-79.6742,45.9445,-104.0446,41.0027,-104.0543,45.0532,-71.4977,41.3394,-74.6559,31.3337,-109.0489,42.0003,-117.9602,42.7783,-79.0672,38.5707,-82.2917,36.503,-103.0037,46.2634,-124.0384,42.3961,-80.0821,41.3706,-71.0541,32.0453,-80.8978,43.0026,-104.0529,36.6354,-87.8522,31.7504,-106.5042,37.0026,-109.0462,36.6519,-83.5613,45.0134,-73.1827,49.0027,-123.0338,42.4954,-87.0241,39.2057,-79.4806,44.9949,-104.0584
70.4515,-144.8163,32.8404,-85.1756,33.118,-91.1989,37.0004,-109.0475,42.0126,-123.1526,41.0006,-102.0534,42.0371,-72.8146,38.9081,-75.7288,31.0035,-85.5313,34.9895,-84.158,20.1849,-155.0391,40.6129,-91.7372,47.9752,-116.0445,41.7641,-87.2067,39.0981,-84.8199,36.9927,-102.0438,36.5008,-88.6871,33.0087,-91.1646,42.033,-72.3779,39.722,-75.7878,45.2294,-70.8618,46.8902,-84.8584,43.8226,-91.3101,40.5472,-91.626,34.8882,-88.0994,44.6198,-111.5071,34.8206,-80.8003,45.934,-96.5671,41.0006,-102.0506,45.091,-71.4619,40.9934,-73.894,31.3349,-108.214,42.0003,-117.0264,42.8508,-78.9313,38.5965,-82.1722,36.4986,-100.0003,46.2891,-124.0205,42.5167,-79.7621,41.6339,-71.1447,32.1105,-81.1134,42.9946,-98.4993,36.6023,-83.6787,31.6242,-106.3092,40.9986,-109.0503,36.6673,-83.4432,45.0153,-72.7432,49.0018,-122.065,43.3721,-87.1477,39.4871,-79.0576,44.9998,-111.0539
70.7471,-148.4583,32.2593,-84.8927,33.1824,-91.1041,31.3325,-109.0503,42.0075,-122.0073,40.9996,-109.0489,41.9983,-72.8174,38.5911,-75.7068,31.0012,-85.1193,34.9996,-83.1088,20.391,-155.5952,40.5545,-91.6768,47.5765,-115.6915,41.7611,-87.5226,39.0533,-84.8927,36.9982,-94.6211,36.4931,-88.0568,32.9269,-91.2209,42.0228,-71.7984,39.5655,-75.7809,45.3917,-70.8247,46.6362,-84.765,43.9651,-91.4914,40.4658,-91.5463,34.7044,-88.1241,44.5386,-111.4673,34.9377,-80.788,46.3242,-96.6028,40.0034,-102.0493,45.152,-71.4276,40.8398,-73.9586,31.7795,-108.2071,42.0003,-115.73,42.9061,-78.9024,38.7712,-82.1997,34.562,-99.9934,46.2407,-123.9368,42.0003,-79.7607,41.6791,-71.1942,32.2058,-81.1423,42.9283,-98.4444,36.5946,-81.9402,31.4638,-106.2103,41.0006,-111.0471,36.7108,-83.308,45.0134,-72.61,48.9973,-121.7491,43.6838,-87.123,39.4394,-78.9725,40.9986,-111.0457
70.7923,-151.1609,32.1535,-85.0342,33.3053,-91.1343,31.3325,-111.0718,41.9962,-121.2369,37.0004,-109.0448,42.0044,-72.7638,38.46,-75.6944,31.0023,-85.0012,34.9287,-83.1418,20.8614,-155.793,40.5451,-91.6246,47.5487,-115.7574,39.6417,-87.5336,38.8996,-84.8625,38.8803,-94.6046,36.6695,-88.0692,32.8773,-91.122,42.0085,-71.8011,39.3152,-75.7617,45.4274,-70.7808,46.4606,-84.5563,44.1113,-91.7084,40.3675,-91.4337,33.6661,-88.2573,44.5151,-111.8285,35.1019,-80.9377,46.6636,-96.7978,39.9992,-95.3091,45.2043,-71.396,40.7691,-74.0094,31.783,-106.5317,41.9952,-114.0436,42.9554,-78.9313,39.0181,-82.0294,34.3763,-99.6172,46.2388,-123.8681,41.9983,-75.358,41.7611,-71.2793,32.3846,-81.1821,42.8438,-98.1958,36.6144,-81.9209,31.3912,-106.0181,41.9993,-111.0498,36.7389,-83.1974,45.0075,-72.5551,48.9991,-121.5912,44.1694,-86.9911,39.6438,-78.7747,41.0006,-104.0556
71.147,-152.6221,31.7947,-85.1358,33.4211,-91.1646,32.4935,-114.8126,41.9983,-119.9982,,,42.036,-72.7563,38.4482,-74.8608,30.9364,-84.9847,34.8318,-83.3025,21.0948,-156.1858,40.3622,-91.4365,47.4239,-115.7595,39.3566,-87.5308,38.8312,-84.8268,39.0789,-94.6143,36.6343,-87.8535,32.8358,-91.1481,42.0197,-71.385,38.9498,-75.7329,45.383,-70.638,46.4525,-84.478,44.2806,-91.8951,40.1663,-91.5161,31.8939,-88.4756,44.5592,-111.8848,35.0356,-81.0379,46.8602,-96.7896,40.2397,-95.4808,45.2362,-71.4455,40.6994,-74.0231,32.0034,-106.6223,38.2856,-114.0546,42.9584,-78.9656,38.875,-81.8729,34.4137,-99.5787,46.2691,-123.739,41.9431,-75.2673,41.7775,-71.3315,32.4576,-81.1986,42.7773,-98.0571,36.6111,-81.6518,31.1846,-105.7874,41.9901,-114.0395,36.7433,-83.1363,45.009,-72.4562,49.0009,-119.6082,44.4828,-86.8579,39.5369,-78.6703,,
71.1185,-153.9954,31.52,-85.0438,33.4337,-91.2263,32.5184,-114.8099,39.0021,-120.0037,,,42.0368,-72.6945,38.8654,-74.8526,30.8845,-84.9367,34.7281,-83.356,21.3597,-156.6595,40.4637,-91.3623,47.3109,-115.535,39.1386,-87.6517,38.7841,-84.8145,39.1971,-94.6184,36.6265,-86.5654,32.7642,-91.1412,41.8961,-71.3837,38.4611,-75.6944,45.5092,-70.719,46.4894,-84.445,44.371,-91.9556,39.9866,-91.49,30.8657,-88.418,44.5229,-112.1127,35.1457,-81.0324,46.9503,-96.7896,40.313,-95.647,45.2372,-71.3878,40.6786,-74.0437,31.9999,-103.0696,36.1955,-114.0491,42.9886,-79.0219,38.9359,-81.7644,34.3763,-99.429,46.252,-123.6868,41.8696,-75.1794,41.7918,-71.3425,32.5283,-81.2769,42.7631,-97.9761,36.3295,-81.7163,31.0012,-105.5663,37.0015,-114.0504,36.8032,-83.1047,45.0037,-72.3113,49.0005,-118.0378,44.8792,-86.6876,39.521,-78.5742,,
71.4307,-154.8853,31.3384,-85.0836,33.5403,-91.2524,32.5827,-114.8044,37.5555,-117.9575,,,42.0309,-72.6086,38.8451,-75.0504,30.8409,-84.9271,34.6569,-83.308,21.4748,-157.1182,40.5482,-91.4021,47.2606,-115.3235,38.9445,-87.5157,38.7905,-84.8941,39.1673,-94.7255,36.5979,-83.6375,32.6382,-91.1536,41.8982,-71.3411,38.4482,-74.8581,45.6544,-70.5721,46.5008,-84.4203,44.4357,-92.2083,39.8634,-91.4447,30.1594,-88.385,44.5367,-112.327,35.166,-81.3867,47.13,-96.8335,40.4302,-95.6689,45.271,-71.3617,40.6515,-74.0808,36.9982,-103.0023,36.1334,-114.0985,43.0568,-79.0027,39.1865,-81.7397,34.4534,-99.3823,46.2596,-123.6456,41.7713,-75.0586,41.8225,-71.3507,32.5838,-81.4087,42.8599,-97.8566,36.3516,-81.7973,30.8456,-105.4015,,,36.8302,-83.1033,45.0066,-72.0964,48.9996,-117.0319,45.2343,-86.2523,39.521,-78.4644,,
71.5232,-156.7529,31.2093,-85.107,33.6112,-91.1797,32.6246,-114.7992,36.3594,-116.3699,,,42.0269,-72.6059,39.0565,-75.1678,30.7902,-84.9257,34.5744,-83.1528,21.5515,-157.5247,40.6931,-91.1124,47.1888,-115.2878,38.7294,-87.5047,38.7809,-84.9861,39.2759,-94.8793,36.686,-83.3423,32.5804,-91.1069,41.8358,-71.337,38.02,-74.9721,45.7292,-70.3894,46.4989,-84.3956,44.5513,-92.336,39.7283,-91.3623,30.0905,-88.8327,44.4475,-112.3901,35.1985,-82.2739,47.2345,-96.8335,40.59,-95.75,45.3029,-71.2834,40.6421,-74.1357,36.9982,-109.0475,36.1068,-114.126,43.0769,-79.0727,39.2812,-81.568,34.3616,-99.2505,46.2577,-123.5468,41.6729,-75.0366,41.8512,-71.337,32.6926,-81.4183,42.8518,-97.229,36.2974,-81.9072,30.6462,-105.0032,,,36.8544,-83.0704,45.007,-71.9131,47.9614,-117.0415,45.4418,-86.7535,39.6015,-78.4094,,
71.2796,-157.9449,31.0023,-84.9944,33.6855,-91.2524,32.67,-114.7474,35.0075,-114.6368,,,42.0269,-72.5784,39.2525,-75.3236,30.7489,-84.9147,34.4839,-83.0072,21.8832,-157.8186,40.8107,-91.1028,47.1542,-115.2493,38.6115,-87.6146,38.6877,-85.1797,39.5612,-95.099,36.7466,-83.1377,32.6093,-91.008,41.8245,-71.3493,38.0275,-75.2316,45.7924,-70.4169,46.5093,-84.375,44.6501,-92.6367,39.6861,-91.3074,30.2104,-89.187,44.4896,-112.7293,35.2041,-82.3933,47.4132,-96.8555,40.6827,-95.8543,45.2507,-71.2299,40.6452,-74.1962,,,36.0891,-114.115,43.122,-79.0713,39.4022,-81.4444,34.2129,-99.1818,46.2672,-123.4863,41.6021,-75.0641,41.888,-71.3397,32.8242,-81.4746,42.8075,-97.2057,36.1212,-82.0308,30.3847,-104.8521,,,36.8478,-83.0127,45.0138,-71.5636,46.506,-117.0394,45.4438,-87.1024,39.6395,-78.3517,,
